therapy_code,therapy_title,therapy_concept_id,component_code,component_title,component_concept_id
anastrozole_maintenance,Anastrozole (Arimidex) Maintenance,,anastrozole,Anastrozole,35802887
antiviral,antiviral,,antiviral,Antiviral,
asct,Autologous Stem Cell Transplant (ASCT),,asct,Autologous Stem Cell Transplant (ASCT),
asct_hdm,Autologous Stem Cell Transplant (ASCT) + High Dose Melphalan (HDM),,asct,Autologous Stem Cell Transplant (ASCT),
asct_hdm,Autologous Stem Cell Transplant (ASCT) + High Dose Melphalan (HDM),,high_dose_melphalan,High Dose Melphalan (140-200),
aspirin_gt_81mg_daily,Aspirin > 81mg daily,,Aspirin,Aspirin,35802900
aspirin_lt_81mg_daily,Aspirin =< 81mg daily,,Aspirin,Aspirin,35802900
atezolizumab,Atezolizumab,,atezolizumab,Atezolizumab,35802902
atezolizumab_nab_paclitaxel,Atezolizumab + Nab-Paclitaxel,,atezolizumab,Atezolizumab,35802902
atezolizumab_nab_paclitaxel,Atezolizumab + Nab-Paclitaxel,,chemoimmunotherapy_regimen,Chemoimmunotherapy Regimen,
atezolizumab_nab_paclitaxel,Atezolizumab + Nab-Paclitaxel,,nab_paclitaxel,Nab-Paclitaxel,
axi_cil,Axi-Cil (Yescarta) Monotherapy,,axicabtagene_ciloleucel,Axicabtagene Ciloleucel,35802907
axillary_lnd_lumpectomy_radiation,Axillary LND + Lumpectomy + Radiation,,adjuvant_radiotherapy,Adjuvant Radiotherapy,
axillary_lnd_lumpectomy_radiation,Axillary LND + Lumpectomy + Radiation,,axillary_lymph_node_dissection_(alnd),Axillary Lymph Node Dissection (ALND),
axillary_lnd_lumpectomy_radiation,Axillary LND + Lumpectomy + Radiation,,ipsilateral-breast-radiation,Ipsilateral Breast Radiation,
axillary_lnd_lumpectomy_radiation,Axillary LND + Lumpectomy + Radiation,,lumpectomy,Lumpectomy,
axillary_lnd_mastectomy,Axillary LND + Mastectomy,,axillary_lymph_node_dissection_(alnd),Axillary Lymph Node Dissection (ALND),
axillary_lnd_mastectomy,Axillary LND + Mastectomy,,mastectomy,Mastectomy,
axillary_lnd_mastectomy_radiation,Axillary LND + Mastectomy + Radiation,,adjuvant_radiotherapy,Adjuvant Radiotherapy,
axillary_lnd_mastectomy_radiation,Axillary LND + Mastectomy + Radiation,,axillary_lymph_node_dissection_(alnd),Axillary Lymph Node Dissection (ALND),
axillary_lnd_mastectomy_radiation,Axillary LND + Mastectomy + Radiation,,ipsilateral-breast-radiation,Ipsilateral Breast Radiation,
axillary_lnd_mastectomy_radiation,Axillary LND + Mastectomy + Radiation,,mastectomy,Mastectomy,
axillary_lnd_radiation,Axillary LND + Radiation,,axillary_lymph_node_dissection_(alnd),Axillary Lymph Node Dissection (ALND),
axillary_lnd_radiation,Axillary LND + Radiation,,ipsilateral-breast-radiation,Ipsilateral Breast Radiation,
bactrim,Bactrim (Co-trimoxazole),,sulfamethoxazole,Sulfamethoxazole,1836430
bactrim,Bactrim (Co-trimoxazole),,trimethoprim,Trimethoprim,1705674
belantamab_mafodotin,Belantamab Mafodotin (Blenrep) Monotherapy,,belantamab_mafodotin,Belantamab Mafodotin,911953
bendamustine,Bendamustine Monotherapy,35804017,bendamustine,Bendamustine,35802918
bendamustine_obinutuzumab,Bendamustine + Obinutuzumab,,bendamustine,Bendamustine,35802918
bendamustine_obinutuzumab,Bendamustine + Obinutuzumab,,chemoimmunotherapy_regimen,Chemoimmunotherapy Regimen,
bendamustine_obinutuzumab,Bendamustine + Obinutuzumab,,obinutuzumab,Obinutuzumab,35803211
